user_name,score,date,text
João Costa,2,15/06/2024,"O app está muito pesado, exigindo muito da internet. Sempre que tô com os dados móveis na rua não consigo acessar, daí tenho que usar outro banco onde o app é mais leve"
Miguel Alexandre,5,15/06/2024,Muito obrigado
Vanusa Lima,1,15/06/2024,"App lento, ruim para tudo aí para ajudar pede atualização quando tento atualizar não consigo ficar só carregando, ORRIVEl."
Sérgio Crestani,4,15/06/2024,Aplicativo não baixa pdf
Emerson Rodrigues,1,15/06/2024,"PÉSSIMO, ARRUMEM ESSE APP URGENTE"
Leonardo dos Santos,1,15/06/2024,"Passou de 6 meses e nada de avaliação do cartão de crédito que os senhores responderiam no meu email, por isso não uso mais a conta com frequência e dou prioridade aos cartões de crédito que tenho. Vcs enchem o email de mensagens, e como investir numa conta que vc conversa somente com robôs ? Quero dizer virtual que não ajuda em nada . Obrigado"
Timi Akiyama,1,15/06/2024,"O Aplicativo está péssimo ( 15/06/2024) o Itaú está regredindo no quesito tecnologia da informação, sendo passado pra trás por todos outros bancos digitais. Vontade de deixar de ser cliente só cresce.... Além das cores dos novos cartões serem horríveis"
Júnior Vital,1,15/06/2024,Não estou conseguindo abrir uma conta no Itaú?
Leila Barata,1,15/06/2024,Insatisfeita
Gilberto Nunes,1,15/06/2024,"Tá horrível está ""atualização""... a outra era bem mais rápida. Agradece mas só volta na antiga que estava bem melhor..."
Sueli Fraga,5,15/06/2024,Estou satisfeita com o cartào Itaú
Wesley Moraes,1,15/06/2024,"O app está extremamente ruim, acho que deveriam fazer melhorias, é desmamador tentar abrir o APP para pagar qualquer coisa que seja a demora é enorme,"
Leandro Gomes,2,15/06/2024,Tá demorando muito carregar as informações
Estanislau Lins,4,15/06/2024,O contraste dos pares números em Laranja com o fundo branco na hora de digitar a senha eletrônica não é bom. Seria melhor Azul ou Preto
Danielle,1,15/06/2024,"De uns tempos para cá, sempre indisponível, não atualiza o token e a solução demora dias. A cada atualização, piora infelizmente."
J Ribamar gomes,1,15/06/2024,Não consigo reinstalar o intokem No meu celular
Deivisson Santos,1,15/06/2024,"Banco lixo, até para quitar um financiamento é obrigatório ter app e para acessar esse app te obrigam a abrir uma conta"
Donisete Silva,5,15/06/2024,Bom
Maria Helena Pereira,1,15/06/2024,Este App que vocês fizeram agora não entra para as pessoas que tem só cartão não funciona nada estou tentando desde quando foi bloqueado o app
Rosimere Pereira,1,15/06/2024,O anterior era melhor
Alan Orzechowski Lorenzzon,1,15/06/2024,"APP só apresentando instabilidade, lentidão, pedindo localização pra funcionar e demora demais pra o APP abrir, parece que essa última atualização só piorou o APP"
Rodrigo Henrique,1,15/06/2024,Atualização lixo vocês fizeram arrumem isso
Solfonts,2,15/06/2024,"O App funcionava tão bem. Essas atualizações dificultam o acesso e as informações que solicitam. Nao consigo reabrir meu aplicativo nem para fazer consulta, Não disponibilizam a função ""esqueci a senha"" para que vc renove a senha de acesso."
Marcos Terto,1,15/06/2024,"O aplicativo funcionava muito bem, cada atualização estava prejudicando seu funcionamento, agora está péssimo!"
Reginaldo Pacheco,5,15/06/2024,Ótimo
Dante Martins,1,15/06/2024,Horrível O lembrete de pagamento me mostra que estou em débito com uma conta já paga e não consigo excluir.
Marcelo Cabral sipriano,5,15/06/2024,Precisa melhorar o sistema de biometria tá muito lento pra abrir só uma sugestão obrigado Tmj 🤙
Jamesley Lebrun,1,15/06/2024,Ruim demais
Daniel Matos Lopes,5,15/06/2024,"Melhor app, melhor banco!"
O Cortês,1,15/06/2024,"Péssimo, conseguiram piorar algo que já não estava aquelas coisas."
Renata Lugon,1,15/06/2024,O modo de aplicação da erro. Horrível.
Anny Maciel,1,15/06/2024,"Desatualizado, ruim."
Ricardo Alexandre,1,15/06/2024,Horrível não resolve nada
Sandro Braga,5,15/06/2024,Media demora muito para atualizar
